wave_type,amplitude,peak_to_peak,mean,variance,duration,energy,frequency,wavelength,velocity,polarization,direction
P,0.12009067734202757,0.12009067734202757,0.03157040390692825,0.0011703375064712285,0.5,0.021670279093178188,0.0,inf,5.0,longitudinal,source-receiver
S,0.13634534034165322,0.13584259873998425,0.04520493794109357,0.0019825466783478228,0.5,0.040260330926059434,0.0,inf,3.0,horizontal,source-receiver
